id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,collaboration_qual,competition_qual,collaboration_post,collaboration_qual_follow_up,competition_qual_follow_up,work_life,work_challenges,work_challenges_post,work_challenges_follow_up,takeaway,compassion_insight,global_challenge_insight,follow_up_meditation_binary,follow_up_meditation_style_Q,follow_up_changes_Q,anything_else,anything_else_post,anything_else_follow_up
Participant 49,"pre, post",21,Non-binary,Toronto ON CA,White or European descent,"Academia, Science & Research, N/A, I'm a student and unfortunately unemployed at the moment","Cognitive science, cognitive psychology, contemplative science, Buddhist studies, phenomenology, qualitative methodology, neurodiversity/developmental disorders. Specific frameworks/theories within cog sci: predictive processing, relevance realization, 4E/enactive/embodied","University of Toronto, undergraduate in Psychology, Cognitive Science, BPMH",Little (1-2 Years),"I attend Wake Up Toronto which is a Plum Village Sangha. I try to meditate on my own but I have not been very consistent with it. When I do meditate it's either basic mindfulness of breathing (anapanasati) or metta practice. I also sometimes use the Plum Village app or try to do active meditations like mindful eating, dishwashing, walking.",No,Yes,"This doesn't fully count, I am not trained in MBSR or MSC but I took a course on mindfulness interventions that I ended up dropping and the in-class practice was based on MBSR and MBCT.",No,NA,Yes,Yes,"I like High Park and Brick Works. Don't go there super often, maybe once a month or less. There's a small park near my apartment that I walk through or sit in nearly every day.",Wake Up Toronto. Meant for people in 20s and 30s.,Cog sci and BPMH are both interdisciplinary so it's almost necessarily collaborative. I'm still a student so I can't speak much on what it's like to work in the field. Sometimes I find it hard to get involved in research without a foot in the door (or even with).,"One of my profs like to talk about experimental competition and theoretical debate a lot. Maybe that's not what the question meant. Cog sci feels competitive in the intellectual way, psychology feels competitive in the sense that I can't get an RA position because there's so many students, BPMH feels less competitive and more open in general","Both me and one of my profs who was in my group had feelings about how the retreat is not a conference - relief of not having to try to impress everyone the whole time, and also anxiety/impatience of really wanting to jump in or follow up during/after Dharma talks and learning to just listen. Someone else described it as a conference hidden inside a retreat whereas mind and life events are like retreats hidden inside conferences. Overall I really appreciated the way people approach each other at Plum Village, like there's a baseline of kindness and openness just because we're in Plum Village.",NA,NA,I love my program but otherwise I have a pretty strongly negative view of the world I live in. It's cruel and it makes no sense at all and I'm too young to be this exhausted. Nothing feels stable or secure and it keeps getting worse. I think my research is important but I need a lot more money to do more school if I want to do it as a career and until then I need a job and the job market stinks. And I don't even need to look outside Ontario to be pissed off at the government for serving corporations at the expense of everyone else. So there's that.,"Being a student is expensive. That's the biggest one. Not sure that my other challenges are relevant to research/academia specifically. I seem to get along better with some of my professors than most people my age and I find it hard to make friends. Time management and/or mental health is almost always the limiting factor in terms of academic success. I'm very good at thinking (or so I've been told), it's everything else that's hard. Keeping myself alive and well and all that.","The same as I said in the pre-retreat survey. Someone at the retreat (a prof) told me enthusiastically that I should publish, which was encouraging. And a different prof shared about side gigs and no tenure which makes me feel less alone but also kind of disappointing to know that financially it doesn't really get better if I pursue a career in academics. Like it's doable but the university does not seem to value its people as much as it should and it's not the most stable income. I feel like I have come home to all the same problems I had before I left (it was more than seven days as I travelled a little after the retreat), which is not surprising. I've been depressed for a while and the retreat helped and I'm really glad I went but I need ongoing support and I'm not sure Wake Up or even talk therapy is going to cut it. Not exactly what the question asked but if this is generally how I feel then this is also how it feels like trying to work. I will say I feel less alone after hearing people's questions and struggles with work, along the lines of ""I care about my work but it's hard to get paid consistently"" or ""my work is really cool but how do I make sure it's ethical.""",NA,"The one I shared with my group was that I have been really struggling to believe that non-suffering isn't some kind of bullshit that we just make up to cope with how real and pervasive suffering is, and I do still struggle with this but talking to one of the monks who used to be a lot like me (stubborn, analytic, straying on the edge of nihilism) was really impactful, and the story shared with the Toronto group about the history of Plum Village was quite impactful as well. Makes me have a little more hope/faith in transformation knowing that a place that used to feel cursed now has this sense of peace that feels very real and alive. That's not what I said to my group, I used different examples.",I remember a guest lecturer before the retreat telling me that compassion fatigue isn't really compassion and that didn't really seem fair to me but I think I get what she was saying now. Listening to the joys or struggles of others doesn't really make my pain better or worse but I feel less like I'm drowning in it. Some people were going through really hard stuff and I was just glad to be there with them. You'd think trauma-dumping would be a risk with dharma sharing but it didn't really feel like that. I especially appreciated hearing from this one woman who was going through something really difficult the last (or first) time she was at Plum Village and was doing much better now. Joked about how she could actually see the individual bamboo stalks because before she was crying so much that it was all a blur. It was funny.,"I'm still thinking about how Br. Phap Linh answered someone's question saying that engaged Buddhism and practicing peace are the same thing and about trusting peace. I find it really hard to believe him but I want to.  The perspective I've been developing anyway is I think we need to let go of the idea of ""saving"" the planet (whether it's about climate change or other issues) and realize that we are in deep shit and the only thing that matters is taking care of each other and to stop making it worse wherever possible. It feels a little like giving up but it's really not. It's a subtle thing to be at peace with the way things are and to want to change them. I don't think I'm very good at it yet.",NA,NA,NA,"I have ADHD and my anxiety has been through the roof these last few months. I've also been very sad, for one specific reason but also in general. Might be relevant for the post-survey later. Looking forward to the retreat.","Unrelated to the point of the survey, but if the results of this are shared in some way with volunteers/organizers - one thing that would make me feel safer if I came back to Plum Village (which I would really like to do at some point) is to please make the ingredients more clear for meals. They were listed once or twice but not most days and I had to keep double-checking with the kitchen staff to find out which food has ingredients I am severely allergic to. I know they can't accommodate allergies and that's fine but consistently listing ingredients would be really helpful! Especially with bigger retreats I imagine there are other people with the same issue. Sometimes they would mark what had gluten but not what had peanuts and peanuts are a pretty common allergy. Otherwise the food was really good.",NA
Participant 50,"pre, post, follow_up",58,Man,"West Lafayette, Indiana, US",Middle Eastern or North African (MENA),"Academia, Business, Education, Information Technology, Science & Research",Artifician intelligence for small and medium manufacturing; nanotechnology,Professor and Associate Dean for Research at Purdue University,Very Little,Walking and breathing meditation,Yes,No,NA,No,NA,No,Yes,Local parks. I try to walk to work every day. It is about 1 to 1.5 hours and it goes through the city as well as crossing a nice river.,NA,"In my research, I work with a group of students and researchers to solve manufacturing problems. As associate dean, I try to help faculty work in teams to solve grand challenges.",Research requires funding and there is a lot of competition to have our proposal selected. Publication in top journals is a key factor in many federal grants (so far!),Importance of Sangha to support our development.,Interdisciplinary science and engineering teams working on some societal grand challenges.,Competition for grants and publications (recognition).,I feel the increased polarization and wealth gap in our society are affecting its long-term stability.,Research has become very narrow and focused. It is hard to keep the big picture and evaluate our impact in the society.,I feel uplifted by the workshop to continue my work in society while maintaining a strong core through regular practice.,There are major societal shifts in US in the last six months. Some make sense but some are very worrisome.,Br. Phap Linh's last dharma talk on Thursday clarified many disjoined ideas by providing a comprehensive map conntecting historical and ultimate dimensions. I also liked the fact that the limitations and danger of all maps (representations of reality) were highlighted.,Explanations (mental maps) don't replace compassion. Compassion is a vital component of our humanity.,"It is incredibly challenging not to be affected by the numerous conflicts in the world and the growing polarization within many countries. We need more frequent and deeper practices on the importance of ""no mud, no lotus.""",Yes,Walking and breathing meditation.,Some changes,NA,"It will be good if videos of retreat dharma talks could be available soon. I hope to review them and gain a deeper understanding. 
It is helpful to have regular (e.g., monthly) virtual meeting to bring the retreat community together for Q&A, additional dharma talks, etc.",NA
Participant 52,"pre, post",22,Woman,"Toronto, Canada",White or European descent,"Academia, Education, Science & Research",I study neuroscience and am part of a lab that is interested in exploring AI from the lens of neuroscience and Buddhism. I am personally very interested in the ways that Buddhism and neuroscience can inform and influence each other.,"Undergraduate student, University of Toronto",Very Little,"No regular practice, some experience with meditation and knowledge of the Buddhist/plum village philosophy",No,No,NA,No,NA,No,No,NA,NA,"Collaboration is discussion, exchange of ideas and mutual interest. Collaboration makes me feel supported, seen and keeps me interested.","Competition is getting research positions, having better grades and resumes than others to be offered the opportunities one hopes for. It fills me with anxiety, sometimes despair, sometimes it just makes me sad.","I think hearing Mark Miller talk about how he doesn't hesitate to ""give away"" authorships gave me hope of a more generous way to be part of the science community. I don't think that I have ever encountered generosity in my field of research, and I am inspired to find ways to bring it there too.",NA,NA,Just stressful.,NA,N/A,NA,"I think one of the big ones was that the academic world of research economy doesn't have to be the way it has been shown to me. It almost sounds silly, but it's really liberating to realize that it can be different, and the fact that there are people who want to change it brought me a lot of hope. Up until now, I felt like I might have to change profession as I couldn't see myself living in such environment. Now, I feel like I'd rather change the profession I'm in from the inside if that makes sense.","The retreat invited me to realize that I need more compassion towards myself, and Borther Phap Linh's final talk about all the possible frequencies made me feel more resilient (at least in theory).","I don't know if it changed anything specific, but I feel more connected to the research community. This retreat made me realize that there is a community available to me, and that makes me much more hopeful in the face of global challenges that need to be solved in my lifetime.",NA,NA,NA,NA,NA,NA
Participant 53,pre,47,Woman,France,White or European descent,Healthcare,NA,Doctor in Medecine,Very Experienced (5+ Years),"Mindfulness in daily life, méditation, deep relaxation, body scan, walking méditation, try to be in conscionsness",Yes,Yes,MBSR MBCT,Yes,"Soto zen retreat "" la Demeure sans limites """,Yes,Yes,I l'avenir at montains and there are two lakes very close to my house,Maison de l'inspir but now i relocate in mountains so with the plumapp,we care for patients as a team,Some people want to establish their authority without considering the opinions of others or the patient,NA,NA,NA,"Currently on sick leave following a serious car accident, I am taking the time to rest and be in the present moment. I am thinking of changing my job because the on-call duties are really too stressful and I no longer feel comfortable with such pressure.","When I suggested mindfulness workshops to support patients in their care, the director told me that medical time was too expensive for me to use it like that. There are too few doctors to meet the demand for care. Today's world is in a race against time and it takes a strong will to sit down and take the time in this collective energy where everything is moving very quickly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 54,"pre, post",28,Woman,"Bamberg, Germany",White or European descent,Information Technology,NA,NA,Little (1-2 Years),I'm trying to meditate daily,Yes,No,NA,No,NA,No,Yes,A dense forest and I would go there two times a week,NA,"Supportive - there is a lot of pair programming, reviewing each others work and helping with thinking through problems.",In my current job it's non-existent.,/,NA,NA,"Very uncertain, especially with AI. But still meaningful, because it does help people with their lives.","Fear and despair about the state of the world (war, climate crisis, fascism)",Unfocused,NA,"I can learn as much theory as I want to, healing starts by taking care of myself, my emotions and my body. I tend to intellectualize, so now I try to actually practice what I've learned.","Applied to me, resliliency is being mindful of my own state and taking care of myself before burning out.",It gave me more hope on how many people want to solve these challenges.,NA,NA,NA,NA,NA,NA
Participant 55,pre,43,Woman,Ispra italy,White or European descent,Science & Research,Cancer prevention,NA,None,None,No,No,Na,No,Na,No,Yes,Every day 2 walks in the forest- i have a dog. I have a big garden and my work was based in a forest territory,NA,"Supporting each other, moving faster together",No sharing information,NA,NA,NA,"Overwhelming but fulfilling, always busy and rushing","Job insecurity, fast moving pace, too much information",NA,NA,NA,NA,NA,NA,NA,NA,"I just ended my work contract last week, so maybe my participation in research should be excluded as i will be unemployed in the next 2 months. Also probably it is not the best period for a comparative study, as long holidays (especially if those in France), may bias the responses in 2 months period :) good luck!",NA,NA
Participant 56,"pre, post, follow_up",36,Woman,Hyattsville MD,White or European descent,"Business, Climate, Finance, Science & Research, Biodiversity, NGO","Transformative change, Biodiversity conservation, business actions for nature, marine science, justice","(please keep this anonymous) WWF-US, Director, Nature Positive for Oceans",Little (1-2 Years),Meditation,No,No,NA,No,NA,No,Yes,Small forest behind our house. Also parks that we drive to and hike.,NA,"Research collaboration, partner with companies, inform and engage with governments, work with other NGOs to do research, inform, influence","Competition internally across teams for funding and attention, access to donors and policymakers or media, competition with other organizations for funding and influence",The insight of interbeing and non-self is interesting to contemplate in the context of collaboration. Perhaps that can help with flow. Also the approach to deep listening I think will make collaboration much more enriching and deep.,"Co-authorship on research papers, collaborating across teams and disciplines (scientist staff with communicators, companies, leadership, and other NGOs), designing projects, workplans, and budgets","Internal competition in the organization for resources and access to ""power"" or ""influence"" (media, donors, policymakers, companies, credit, etc), even within teams. Recently, I wrote a blog piece to highlight my co-authored work, and our overall team leadership put pause on it, as he wanted to be the author and presumably take credit externally. Also external competition with peer organizations for funding, access to power/influence.",There are very challenging political realities that put pressure on our work and the ability to maintain scientific integrity. There is also a huge funding constraint which is causing more competition and stress. I am considering moving out of the US for another opportunity but that brings challenges.,"Challenge to persist and impel transformative change when there are such huge obstacles for our planet. Challenges in the US with the political environment, attacks on science and research, and integrity / DEI","Uncertain (funding, status of global challenges like environmental destruction) situation creates stress and anxiety. But I know that I am not alone in these challenges and that anything is possible. I also feel that the power of intuition can help with working through uncertainty.","Very challenging right now in the US and in the Washington DC area, where the president is sending in National Guard which is inflicting violence on unhoused people. Also, watching funding for science and environmental protection being dismantled systematically is very challenging and demoralizing. I have found an activism community to connect with and take action, which has been helpful to keep inspired and motivated.","The retreat was incredibly enriching. I had some deep ah-ha moments about issues and decisions I am working through. 1. Issues at work with a colleague. I had a breakthrough and have been releasing the effect of this individual's difficult behavior on me due to the overall recognition of interbeing, as well as the relative lower importance of this relationship vs others in my life. 2. I solidified very strongly that I do want to have children through an experience in walking meditation","I feel that compassion to ones self and others is essential for living a good life and having a positive impact in the world, no matter what. And I find that the practice of meditation has already helped my resilience (physical, mental, emotional - all of which are connected).","The impact that global challenges are having on people on a deep individual level makes a lot more sense to me now (eg climate change, war, etc) and the ripple effects of that impact is real. So by taking care of ourselves and our emotions/bodies, we are already contributing to addressing global challenges especially when we bring in compassion.",Yes,"Guided meditation, walking meditation, deep relaxation, found a dharma group in my area and attended twice","I have carried forward the mindfulness / zen vibe in everyday life. I used the ""Beginning a new"" practice when I was switched to a new boss, which was very helpful and effective. I have been keeping a somewhat regular mindfulness and meditation practice.",NA,"This retreat was wonderful and transformative. I have brought forward with me a deep sense of calm, peace, and stability. Its approach to bringing in the practice with scientific and philosophical talks, and sharing groups was an amazing way to help me grow and process. I feel this retreat has been a continuation of past learning and growth for me, but also have a significant feeling that now I have a new start and approach to living. Thank you!",My experience at Plum Village was amazing and transformative. I am so grateful for the practical lessons and suggestions for ways to integrate them into my daily life.
Participant 57,pre,66,Woman,"Sydney, Australia","Indigenous or First Peoples (e.g., Native American, Alaska Native, First Nations, Aboriginal, Māori), White or European descent","Climate, Media",Climate campaigning,NA,Experienced (3-5 Years),Grounding practices,No,Yes,Can’t remember,No,NA,No,Yes,The ocean and I live at the beach,NA,I work as a consultant so it varies,It varies w the organisation,NA,NA,NA,Critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 58,"pre, post",37,Genderqueer or genderfluid,toronto,"Hispanic, Latino, or of Spanish origin, Middle Eastern or North African (MENA)","Climate, Healthcare",Implement programs and infrastructures to support youth well-being and psychosocial resilience in the face of climate change. Currently adapting an Active Hope program with/for youth,Centre for Addiction and Mental Health,Experienced (3-5 Years),zen meditation daily and once a week 2hrs with a sangha,No,No,NA,No,NA,No,Yes,lake ontario and toronto island. once or twice a week,NA,it varies a lot. sometimes it is determined by hierarchies where people play specific roles on a team and usually are able to meaningfully participate if they are funded to do so. the tone of collaboration is set by the lead. it’s rare for the whole team to have full ownership and collaborate on the same playing field with each other. so it can feel very disconnected and contrived by structures instead of by interest and energy. but people overall care a lot about doing good work and helping society so when you’re in a team that is committed and you can set the tone for the collaboration it can also feel enlivening and exciting to put our minds and hearts together for common goals.,"as a non-academic in my field, i don’t experience competition as much. in the hospital and research institution i work at, i find that people often want to support my work. the pressure of competition is felt more through stories and the energy of my academic colleagues.","The retreat reinforced and validated my orientation towards prioritizing collaboration in how I conduct my work. I still struggle in creating opportunities for collaboration because I don't have enough funding to form a consistent team in my workplace. But I already found myself approaching team meetings differently, feeling more confident and at ease with sharing what's in my heart, bringing my full self and seeing the full self of those I'm with. I feel more committed to finding and creating contexts where collaboration is the pathway forward in all we build - because we are made of each other, we are not alone, we are not separate. Our work needs to reflect this. How we do our work matters as much as what we do. How we collaborate needs to reflect the peace, well-being, and loving world we hope to create. This came forth during the Q&A and it reinforced my desire to build cultures of peace in how we work towards climate justice and mental health justice. Mindfulness is a pathway for this.",NA,NA,"it feels meaningful and relevant given the high rates of hopelessness young people feel about the future. i can’t believe i get to be paid to do what my soul desires to work on.  and i do get paid well so i feel fortunate and privileged. but the environment i work in is determined by institutional dynamics that leave me feeling very lonely. so the “way” the work takes place is not very fulfilling for me. i have a small team of people i work with, and when we work together it feels amazing. but i don’t have a lot of money yet to fund my project so i can’t work with them as much as i would like. i also mainly work from home. that combination makes me feel isolated and i easily stay in my head, and have projections about the work environment and my self-worth. i’ve been working through these and when i meditate often i feel i have better perspective",NA,"It feels like listening to my own being and trying to let my authentic heart expression to come forth - to close the divide between my work, my creative practice, my personal relationships, etc. It's all one. Can it all be oriented towards care and love? I feel less inclined to follow capitalism's expectations of production in how I design my days, to allow myself to infuse them instead with art, writing, friendship, and yes, of course work. It can all co-exist. I am lucky that I can make my own schedule, so I'm able to play with this.",NA,"I deepened my embodied understanding and experience of 'inter-being' (I felt such a strong connection to the larger web of life in my own being, which led me to relate differently to my own sense of self, and softened me to the pain and grief that lives through us).
The combination of Dharma teachings, Dhaarma sharing, science panels, and engagement in mindfulness practice throughout the retreat allowed me to have a clearer felt sense of how we construct reality. I am no longer sure I know 'who I am' and that's (I think) a good thing. I feel more open, more curious, and more willing to have a beginner's mind as I approach and co-create reality.","The retreat really highlighted for me the ways I struggle with self-compassion and how that reverberates in my relationships. I was challenged to face the parts of me who are hard on myself, while also I was invited to practice real self-compassion, embrace the emotions that flow through me with gentleness and patience. To be fully present with an emotion so it lives its full cycle and not resist it. Deep down, I hoped the retreat would teach me skills or ways to expand my own capacity to feel pain and be able to be resilient - and I actually think that deepening my capacity to be more mindful and present is allowing me to expand my capacity to 'be with pain' and not run away from it, not be scared, to let it unveil the love hidden inside. Resiliency doesn't need to be about 'being tough' as my parents taught me; it can be about 'being soft and permeable' - the softer I am, the least likely I'll break when I fall.","The retreat reinforced my understanding of how global challenges live through us; how the destruction of the planet and each other is inevitably felt in my own being and I emulate its energy if I am not mindful. Although I cannot affect large change as much as I wish I could, I can shift how I move through the world, how I allow myself to be present with how it affects me so I don't get stuck in fear and despair, how I show up in my relationships with myself and others, and in my work around ecological grief and climate action. Global challenges may be difficult to solve, but peace can live in me and through me, and I can truly find a way of feeling and embodying joy and happiness for myself and others. I can create the future I yearn for in the present through my relationships. We live in a beautiful world. It is heartbreaking that we are destroying it. And we don't need to give up in loving it and protecting it through our small lives and our small actions. Big things are made of little things. And anything is possible. So let's keep imagining.",NA,NA,NA,NA,I am deeply grateful for this experience. I think I'm a better person thanks to it and I hope I can continue to find ways of creating the conditions to practice these ways of being in our world. Thank you.,NA
Participant 59,pre,47,Woman,Switzerland,"Hispanic, Latino, or of Spanish origin",Education,NA,NA,Moderate (2-3 Years),Sitting meditation,Yes,Yes,Mbsr,No,NA,Yes,Yes,"Lake woods 2-3 times a week, mointains 1 a month",EIAB morning meditation,"Meetings, preparation",Perfectionism,NA,NA,NA,Difficult with social differences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 60,pre,64,Woman,Heidelberg-Germany,White or European descent,Healthcare,Pediatrics/ Family therapy,Private clinic,Very Experienced (5+ Years),Meditation in the Tradition of Plum village,Yes,Yes,MBSR,Yes,Vipassana,Yes,Yes,"Forest , river ,Garden",Gaiberg/Heidelberg,I hAve one colleague to Share my questions and ask advice and a few co- workers who support me with their ideas,There hardly is any,NA,NA,NA,makes sense,"No Money for Research, politically supression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 61,pre,62,Woman,"Boston, United States",White or European descent,"Academia, Education, Healthcare, The arts",NA,NA,Little (1-2 Years),"Yoga, meditation, mindfulness walking, mindful eating, mindful communications, including mindful listening.",Yes,No,NA,No,NA,No,Yes,"I walk daily along the Charles River, and along relied paths in the esplanade.  I also cycle several times a week and go for hikes in nature a few times a month.",NA,"Community partners contributing to the work on many levels,","Organizations and individuals competing for grant dollars, limited time to schedule programs.",NA,NA,NA,"Depends on the project.  Some parts of my work are very satisfying and flow, other parts are more challenging and it is a practice to stay the course.  Other parts are challenging in a stimulating way, like solving a puzzle.","Eliminating longstanding silos which divide researchers and academics.  In the interest of the greater good,.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 62,"pre, post",30,Man,"Freiburg, Germany","Middle Eastern or North African (MENA), White or European descent","Climate, Education, Gastronomie, Dance","Mindfulness in dance and in education, mindfulness in daily life",NA,Very Experienced (5+ Years),"Local wake up sangha, meditation in daily life, walking meditation, dahrma yoga, reflection",Yes,No,NA,Yes,Goenka Vipassana,Yes,Yes,NA,Wake Up Freiburg (Germany),"In education: planning together activities, sharing facilitation, tasks
",NA,"Insights: clear, open and insightful communication, of people which are mostly disconnected from their phones/screens has great potential pf common projects and increases joy. 

",NA,NA,NA,NA,NA,NA,"Sitting under the great oak tree at lower hamlet, at the lunch following the first panel, I've understood scientifically how the meditation influence our brain activities, listening to Marc, and understanding that even 8 minutes a day created change was scientific was mind-blowing. 

Another takeaway was the importance of scilence and holding the fear by yourself, through a couplenof meaningful talks, and exploring the upper hamlet at night after 23h on the lazy evening, listening to the frogs and wind chimes and being facinated and not bored at all","People are way more open and less dogmatic when practicing the deep listening which could contribute to collaboration.

","Many people want to create a more mindful world, already doing a lot and will do much nore if you give them the conditions, not necessary so materialistic",NA,NA,NA,NA,NA,NA
Participant 63,pre,46,Woman,"Langenbach, Bavaria, Germany",White or European descent,"N/A, Currently unemployed",Physiotherapist by training/education,NA,Moderate (2-3 Years),Occasional meditation and Yin Yoga,Yes,No,NA,No,NA,No,Yes,Fields and a few trees near my village,NA,"Sharing ideas, treatment methods, referrals to other HCPs",Competing to have patients attend this clinic (private practice) vs. A different clinic,NA,NA,NA,Currently unemployed (living abroad and credentials not recognized),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 64,"pre, post, follow_up",65,Woman,Sweden,White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),Meditation and reading Buddhistic literature group,Yes,No,NA,No,NA,No,Yes,Lots of water around and green spaces,NA,Sharing good and bad,When someone is not listening,How different views we have of “things”,Sharing experiences and knowledge in my field,If someone is excluding people from being within a context,Good,NA,Good,good/gratitude to be doing what I am doing,How to build a Buddhist way to teaching environment/university.,Sometimes both need time to “settle in”,Information is different in different places of the world which can explain different perspectives,Yes,"Noticing breathing, Affect and body sensations. Being between/in bodily/ mind sensations and thinking/concepts, practicing differences","yes, personal : awareness of( too much) distractions taking time and space from being mindful",NA,Slowing down at the retreat enhanced my perception.,NA
Participant 65,pre,36,Man,"Toronto, Canada",White or European descent,"Business, Information Technology, Science & Research",I'm currently exploring philosophy of science questions around allowing emotional and aesthetic aspects of experience be legitimate parts of the practice.,NA,Moderate (2-3 Years),"I have an intermittent practice of seated meditation, partly from Rob Burbea's books, partly through a Toronto community called the consciousness explorers club, and then various workshops I've done over the years in Zen and other contexts. 

I have a regular yoga practice, and my studio brings in a bit of the contemplative and spiritual, but gently.

Camping is probably the most profound spiritual practice I engage in.",No,No,NA,Yes,I did a one day Shinzen Young retreat,No,No,NA,NA,"Caveat: I'm changing fields

I need to get better at collaboration. As move into my publishing project it looks like bringing in very different thinkers into my calls. It looks like bringing on a designer and trusting him. It looks like, when I come across people whose work I wish I had done, sending them a note and asking them to contribute to the magazine.

For more technical projects, it looks like me and a collaborator with a clear idea of the thing we're trying to build, standing in front of a white board and drawing diagrams together that captures the idea. It often looks like two of us at one keyboard writing the code as a pair.","Caveat: I'm changing fields.

Competition looks like me seeing people publishing ideas in a similar space to what I'm thinking about and getting a sense of urgency, and a desire to ""own"" the conversation for fear that others will either get credit for work I'm also doing, or perhaps worse, steer the conversation to places I don't want it to go. It's often an anxious feeling in my solar plexus, and the mind spinning on ideas. But often a sense of paralysis, ""why even bother this person is going to do it""",NA,"I'm changing fields. In my previous field, of software engineering, things are built by teams of folks so there's quite a lot of collaboration in the design process, in reviewing and critiquing each other's code, in debugging, etc.

Collaboration there feels supportive, but quite focused on the task at hand, everything is very goal oriented.

My new field is kind of self-directed creative work that I'm discovering/creating as I go. Collaboration feels like a mix right now of very intimate soul-connected discussion with my closest collaborator and then somewhat more arms length with contributors to the project. I feel a desire to ""thicken"" those relationships, however, and make this feel like we're entering a shared world together.","Competitive energy makes me uncomfortable so I've tended to avoid engaging with those aspects of my industries. In the tech industry it shows up the most in terms of the general feeling that you're in a race against competing companies, which leads to a kind of constant sprinting energy.

In my new field of creative publishing / world-building competition is a bit more of a feeling of ""what if the worlds someone else is creating take over"" or ""what if someone else creates the world I'm trying to create and does it better than me?""",It often feels a bit crammed in between childcare responsibilities. I'm also discovering what my work is since I'm redefining it.,"I've always felt like I lose my creativity and curiousity as I try to understand what institutions want from me, so I've had some interest in figuring out how to do independent research. But then you rapidly realize that community and legitimacy are super important factors that institutions help bring. Wondering whether there is space for deep and impactful research without navigatinf institutional structures that I don't fully understand.",NA,"Right now I'm leading a creative project, which in some sense ""only exists"" when I put in the energy to make it so. So there's a bit of a loneliness to that, and at times a kind of self-punishing critique that I need to be pushing harder or doing a better job.

At other times it feels joyful, and I feel lucky to have been able to set up my life in such a way that it affords this kind of freedom of inquiry and expression, self-doubt notwithstanding.",NA,NA,NA,Yes,I've mostly maintained a daily morning seated meditation practice.,"No, but I feel more committed to the significant changes I had made in the months prior to the retreat.","Just that I wear a lot of hats, and it's not always clear from which hat to be answering the survey. I'm not totally sure what things that I'm doing count as my work today.",NA,NA
Participant 66,follow_up,47,Man,"Gothenburg, Sweden",White or European descent,NA,NA,NA,Very Experienced (5+ Years),"Plum village, qigong",No,No,NA,No,NA,Yes,Yes,"Park, wild park, countryside cabin. At least weekly",Rosensanghan,NA,NA,Creating safety at the workplace for innovation and growth.,NA,NA,NA,NA,Overwhelming. Inspiring.,NA,"No free will, go with the flow. 
I have suppressed some unconscious parts of myself.",NA,NA,Yes,"everyday sitting meditation, reading 5 mindfulness trainings, watching Plum Village dharma talks and podcasts",no,NA,NA,NA
Participant 67,follow_up,43,Woman,Switzerland,White or European descent,NA,NA,NA,Experienced (3-5 Years),vipassana meditation,No,Yes,Silva Method,Yes,"Vipassana retreat, Japanese Zen Buddhist  retreat",No,No,NA,NA,NA,NA,"siblinghhood, relationship is more important than the task itself","Collaboration looks like working together with others and incorporating multiple perspectives, ideas, thoughts, suggestions. This is done remotely (zoom, google docs, slack).",Competition is more so focused on other companies (carbon project developers) that are also looking for support through grants and client (carbon buyers).,NA,NA,NA,"It feels motivating knowing that my work is having a positive impact on the environment, it feels challenging yet I feel the challenge pushes me to grow my abilties, improve my skills, and challenges me to better myself. Economically it is challenging as the world does not always prioritize climate as the thing to spend money on but I wholeheartedly believe in what I am working on which makes the despair feel less strong. Plum Village also allowed me to view my energy as passion rather than despair.

""Be mindful that what brings you the most joy does not also become what brings you the deepest suffering"". This was shared during the retreat and is now a mantra I come back to often, especially when it comes to climate action.","visualization of aspiration ( beginning anew), importance of sangha and nature","inner peace, inner strength","The ethical aspects of neuroscientific research is vital. I was startled to talk to a professor and researcher who bypassly mentioned how animals are used for his experiments.(Electrides implented in the brains of healthy non- human animals). It saddened me very deeply how this seems the most natural way of conducting researches and these researchers are „mindful buddhists“ at the Plum Village Science Retreat. I was very saddened that this topic has not been touched and it seemed I was the only person startled. Well-respected scientific head researchers, professors should be invited to a discourse about alternative non- violent research methods, especially now in the era of high technology and AI.",Yes,Guided meditation and moments of mindful breathing during my everyday.,It has really forced me to re-evaluate the personal relationships in my life and how I show up in my relationships.,NA,Thank you so much for this wonderful retreat!,NA
