id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,anxiety,anxiety_follow_up,boredom,boredom_follow_up,calm,calm_follow_up,connection,connection_follow_up,curiosity,curiosity_follow_up,despair,despair_follow_up,frustrations,frustrations_follow_up,joy,joy_follow_up,collaboration,collaboration_follow_up,competition,competition_follow_up,colleague_wellness_support,colleague_wellness_support_follow_up,community,community_post,community_follow_up,wellness_enhance_work,wellness_enhance_work_follow_up,retreat_fosters_collab_scientist_practitioners,retreat_fosters_collab_attendees,retreat_wellness_support_post,body_aware,body_aware_post,body_aware_follow_up,feelings_aware,feelings_aware_post,feelings_aware_follow_up,mind_aware,mind_aware_post,mind_aware_follow_up,perception_aware,perception_aware_post,perception_aware_follow_up,happy,happy_post,happy_follow_up,life_interest,life_interest_post,life_interest_follow_up,life_satisfaction,life_satisfaction_post,life_satisfaction_follow_up,society_contribution,society_contribution_post,society_contribution_follow_up,belonging,belonging_post,belonging_follow_up,society_good,society_good_post,society_good_follow_up,people_good,people_good_post,people_good_follow_up,society_makes_sense,society_makes_sense_post,society_makes_sense_follow_up,personality_satisfaction,personality_satisfaction_post,personality_satisfaction_follow_up,life_responsibility_management,life_responsibility_management_post,life_responsibility_management_follow_up,warm_trusting_relationship,warm_trusting_relationship_post,warm_trusting_relationship_follow_up,growth_opportunities,growth_opportunities_post,growth_opportunities_follow_up,confidence_ideas,confidence_ideas_post,confidence_follow_up,life_direction,life_direction_post,life_direction_follow_up
Participant 52,"pre, post",22,Woman,"Toronto, Canada",White or European descent,"Academia, Education, Science & Research",I study neuroscience and am part of a lab that is interested in exploring AI from the lens of neuroscience and Buddhism. I am personally very interested in the ways that Buddhism and neuroscience can inform and influence each other.,"Undergraduate student, University of Toronto",Very Little,"No regular practice, some experience with meditation and knowledge of the Buddhist/plum village philosophy",No,No,NA,No,NA,No,No,NA,NA,Often,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Always,NA,Neutral,NA,Agree,Strongly Agree,NA,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,NA,Often,Often,NA,Often,Often,NA,Sometimes,Often,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Once or Twice,Once or Twice,NA,Once or Twice,About Once a Week,NA,Never,Once or Twice,NA,About Once a Week,Once or Twice,NA,Never,Once or Twice,NA,Once or Twice,About Once a Week,NA,Never,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,About Once a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,Never,Once or Twice,NA
Participant 53,pre,47,Woman,France,White or European descent,Healthcare,NA,Doctor in Medecine,Very Experienced (5+ Years),"Mindfulness in daily life, méditation, deep relaxation, body scan, walking méditation, try to be in conscionsness",Yes,Yes,MBSR MBCT,Yes,"Soto zen retreat "" la Demeure sans limites """,Yes,Yes,I l'avenir at montains and there are two lakes very close to my house,Maison de l'inspir but now i relocate in mountains so with the plumapp,Sometimes,NA,Never,NA,Often,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Neutral,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,NA,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA
Participant 54,"pre, post",28,Woman,"Bamberg, Germany",White or European descent,Information Technology,NA,NA,Little (1-2 Years),I'm trying to meditate daily,Yes,No,NA,No,NA,No,Yes,A dense forest and I would go there two times a week,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Often,NA,Sometimes,NA,Sometimes,NA,Never,NA,Agree,NA,Strongly Disagree,Agree,NA,Disagree,NA,Agree,Strongly Agree,Agree,Rarely,Sometimes,NA,Sometimes,Often,NA,Often,Often,NA,Often,Sometimes,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,Once or Twice,NA,Once or Twice,Once or Twice,NA,Never,Never,NA,Never,Once or Twice,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,Once or Twice,NA,About 2 or 3 Times a Week,About Once a Week,NA,About Once a Week,Once or Twice,NA,Almost Every Day,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,About Once a Week,NA,About Once a Week,Once or Twice,NA
Participant 55,pre,43,Woman,Ispra italy,White or European descent,Science & Research,Cancer prevention,NA,None,None,No,No,Na,No,Na,No,Yes,Every day 2 walks in the forest- i have a dog. I have a big garden and my work was based in a forest territory,NA,Often,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Always,NA,Often,NA,Rarely,NA,Agree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Rarely,NA,NA,Often,NA,NA,Sometimes,NA,NA,About Once a Week,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Never,NA,NA
Participant 56,"pre, post, follow_up",36,Woman,Hyattsville MD,White or European descent,"Business, Climate, Finance, Science & Research, Biodiversity, NGO","Transformative change, Biodiversity conservation, business actions for nature, marine science, justice","(please keep this anonymous) WWF-US, Director, Nature Positive for Oceans",Little (1-2 Years),Meditation,No,No,NA,No,NA,No,Yes,Small forest behind our house. Also parks that we drive to and hike.,NA,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Always,Often,Often,Sometimes,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Often,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Once or Twice,About Once a Week,About Once a Week,Every Day,Every Day,Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Every Day,Almost Every Day,Every Day,Every Day,Every Day,Every Day,Every Day,Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Every Day
Participant 57,pre,66,Woman,"Sydney, Australia","Indigenous or First Peoples (e.g., Native American, Alaska Native, First Nations, Aboriginal, Māori), White or European descent","Climate, Media",Climate campaigning,NA,Experienced (3-5 Years),Grounding practices,No,Yes,Can’t remember,No,NA,No,Yes,The ocean and I live at the beach,NA,Sometimes,NA,Never,NA,Often,NA,Often,NA,Often,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Always,NA,Sometimes,NA,Agree,NA,Strongly Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA
Participant 58,"pre, post",37,Genderqueer or genderfluid,toronto,"Hispanic, Latino, or of Spanish origin, Middle Eastern or North African (MENA)","Climate, Healthcare",Implement programs and infrastructures to support youth well-being and psychosocial resilience in the face of climate change. Currently adapting an Active Hope program with/for youth,Centre for Addiction and Mental Health,Experienced (3-5 Years),zen meditation daily and once a week 2hrs with a sangha,No,No,NA,No,NA,No,Yes,lake ontario and toronto island. once or twice a week,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Strongly Agree,NA,Strongly Agree,Strongly Agree,NA,Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Always,NA,Always,Always,NA,Always,Always,NA,Often,Always,NA,Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,Never,About Once a Week,NA,Almost Every Day,Every Day,NA,Never,Never,NA,About Once a Week,Every Day,NA,Almost Every Day,Almost Every Day,NA,Every Day,Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,Almost Every Day,Every Day,NA,Every Day,Every Day,NA
Participant 59,pre,47,Woman,Switzerland,"Hispanic, Latino, or of Spanish origin",Education,NA,NA,Moderate (2-3 Years),Sitting meditation,Yes,Yes,Mbsr,No,NA,Yes,Yes,"Lake woods 2-3 times a week, mointains 1 a month",EIAB morning meditation,Rarely,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Often,NA,Sometimes,NA,Rarely,NA,Neutral,NA,Agree,NA,NA,Disagree,NA,NA,NA,NA,Rarely,NA,NA,Sometimes,NA,NA,Often,NA,NA,Sometimes,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA,About Once a Week,NA,NA,Never,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA
Participant 60,pre,64,Woman,Heidelberg-Germany,White or European descent,Healthcare,Pediatrics/ Family therapy,Private clinic,Very Experienced (5+ Years),Meditation in the Tradition of Plum village,Yes,Yes,MBSR,Yes,Vipassana,Yes,Yes,"Forest , river ,Garden",Gaiberg/Heidelberg,Rarely,NA,Never,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Strongly Agree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA
Participant 61,pre,62,Woman,"Boston, United States",White or European descent,"Academia, Education, Healthcare, The arts",NA,NA,Little (1-2 Years),"Yoga, meditation, mindfulness walking, mindful eating, mindful communications, including mindful listening.",Yes,No,NA,No,NA,No,Yes,"I walk daily along the Charles River, and along relied paths in the esplanade.  I also cycle several times a week and go for hikes in nature a few times a month.",NA,Rarely,NA,Rarely,NA,Often,NA,Often,NA,Often,NA,Never,NA,Rarely,NA,Often,NA,Often,NA,Sometimes,NA,Agree,NA,Agree,NA,NA,Strongly Agree,NA,NA,NA,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Almost Every Day,NA,NA,NA,NA,NA,NA,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA
Participant 62,"pre, post",30,Man,"Freiburg, Germany","Middle Eastern or North African (MENA), White or European descent","Climate, Education, Gastronomie, Dance","Mindfulness in dance and in education, mindfulness in daily life",NA,Very Experienced (5+ Years),"Local wake up sangha, meditation in daily life, walking meditation, dahrma yoga, reflection",Yes,No,NA,Yes,Goenka Vipassana,Yes,Yes,NA,Wake Up Freiburg (Germany),Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Agree,Strongly Agree,NA,Agree,NA,Agree,Agree,Strongly Agree,Often,Often,NA,Often,Always,NA,Often,Always,NA,Sometimes,Often,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About Once a Week,Almost Every Day,NA,About Once a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,About Once a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Once or Twice,About Once a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,About Once a Week,Almost Every Day,NA
Participant 63,pre,46,Woman,"Langenbach, Bavaria, Germany",White or European descent,"N/A, Currently unemployed",Physiotherapist by training/education,NA,Moderate (2-3 Years),Occasional meditation and Yin Yoga,Yes,No,NA,No,NA,No,Yes,Fields and a few trees near my village,NA,Often,NA,Never,NA,Rarely,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Neutral,NA,Disagree,NA,NA,Neutral,NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Rarely,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Never,NA,NA,Never,NA,NA,Once or Twice,NA,NA,Never,NA,NA,Never,NA,NA,Never,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Once or Twice,NA,NA,Never,NA,NA
Participant 64,"pre, post, follow_up",65,Woman,Sweden,White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),Meditation and reading Buddhistic literature group,Yes,No,NA,No,NA,No,Yes,Lots of water around and green spaces,NA,Rarely,Never,Never,Never,Often,Often,Often,Often,Often,Often,Never,Never,Sometimes,Rarely,Sometimes,Often,Always,Always,Rarely,Rarely,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,About Once a Week,About Once a Week,About Once a Week,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About Once a Week,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day
Participant 65,pre,36,Man,"Toronto, Canada",White or European descent,"Business, Information Technology, Science & Research",I'm currently exploring philosophy of science questions around allowing emotional and aesthetic aspects of experience be legitimate parts of the practice.,NA,Moderate (2-3 Years),"I have an intermittent practice of seated meditation, partly from Rob Burbea's books, partly through a Toronto community called the consciousness explorers club, and then various workshops I've done over the years in Zen and other contexts. 

I have a regular yoga practice, and my studio brings in a bit of the contemplative and spiritual, but gently.

Camping is probably the most profound spiritual practice I engage in.",No,No,NA,Yes,I did a one day Shinzen Young retreat,No,No,NA,NA,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Disagree,Disagree,Agree,NA,Strongly Agree,Agree,Agree,NA,NA,NA,Rarely,NA,Sometimes,Sometimes,NA,Sometimes,Often,NA,Often,Sometimes,NA,Sometimes,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,Almost Every Day,NA,About Once a Week,About Once a Week,NA,Once or Twice,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,About Once a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About Once a Week,NA,About 2 or 3 Times a Week
Participant 66,follow_up,47,Man,"Gothenburg, Sweden",White or European descent,NA,NA,NA,Very Experienced (5+ Years),"Plum village, qigong",No,No,NA,No,NA,Yes,Yes,"Park, wild park, countryside cabin. At least weekly",Rosensanghan,NA,Often,NA,Sometimes,NA,Often,NA,Often,NA,Often,NA,Rarely,NA,Often,NA,Sometimes,NA,Often,NA,Sometimes,NA,Agree,NA,Agree,Agree,NA,Neutral,Agree,Agree,Neutral,NA,Often,Often,NA,Often,Often,NA,Often,Often,NA,Often,Often,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Once or Twice,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,About 2 or 3 Times a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,About Once a Week,NA,Almost Every Day,About Once a Week,NA,Once or Twice,About Once a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About 2 or 3 Times a Week
Participant 67,follow_up,43,Woman,Switzerland,White or European descent,NA,NA,NA,Experienced (3-5 Years),vipassana meditation,No,Yes,Silva Method,Yes,"Vipassana retreat, Japanese Zen Buddhist  retreat",No,No,NA,NA,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Agree,NA,Strongly Agree,Agree,NA,Strongly Agree,Agree,Strongly Agree,Strongly Agree,NA,Always,Sometimes,NA,Often,Often,NA,Always,Often,NA,Often,Sometimes,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About Once a Week,Almost Every Day,NA,Once or Twice,About Once a Week,NA,Once or Twice,About Once a Week,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Once or Twice,Once or Twice,NA,Almost Every Day,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day
Participant 68,follow_up,73,Man,"Fort Collins, CO, USA",White or European descent,NA,NA,NA,Moderate (2-3 Years),"No regular practice now, but trained in Aikido for ~40 years (1st degreee black belt). Meditation was part of that training.",Yes,No,NA,Yes,Retreat with Thich Nhat Hanh in Saratoga California around 1995.,No,Yes,"Right behind my house: park (with playground, tennis & basketball courts, baseball diamonds), then small river, then wilderness area with hiking trails. I get to the river 0 to 3 times per week depending on weather; usually walking, sometimes biking. I can see the park and the trees by the river (but not the river itself) from my home-office window.",NA,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Often,NA,Sometimes,NA,Disagree,NA,Neutral,Agree,NA,Disagree,Agree,Agree,Strongly Agree,NA,Sometimes,Often,NA,Sometimes,Often,NA,Often,Often,NA,Rarely,Often,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Every Day,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Never,Once or Twice,NA,About Once a Week,NA,NA,Once or Twice,Once or Twice,NA,About Once a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About Once a Week,Almost Every Day,NA,Once or Twice,Every Day,NA,Every Day,Every Day,NA,Almost Every Day,Every Day
Participant 69,follow_up,40,Woman,France,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",NA,NA,NA,Little (1-2 Years),Sitting meditation,Yes,No,NA,Yes,Vipassana silent retreat,No,No,NA,NA,NA,Sometimes,NA,Rarely,NA,Often,NA,Often,NA,Always,NA,Rarely,NA,Rarely,NA,Always,NA,Sometimes,NA,Sometimes,NA,Strongly Agree,NA,Strongly Agree,Strongly Agree,NA,Strongly Agree,Agree,Agree,Strongly Agree,NA,Often,Sometimes,NA,Always,Often,NA,Often,Often,NA,Often,Often,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,About Once a Week,Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,Once or Twice,Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Every Day,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,Every Day,Every Day
Participant 70,follow_up,26,Woman,Sweden,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",NA,NA,NA,Moderate (2-3 Years),NA,Yes,No,NA,No,NA,No,Yes,When I go for a run I usually run around the island and then eventually end up in nature. I often go there once in a week. There is gardening and small cafes and also where people can take a swim.,NA,NA,Rarely,NA,Never,NA,Often,NA,Often,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Often,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,Always,Often,NA,Always,Often,NA,Always,Sometimes,NA,Always,Sometimes,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,About 2 or 3 Times a Week,Once or Twice,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,Never,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Almost Every Day,Never,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Almost Every Day,About Once a Week
Participant 71,post,57,Woman,"Heidelberg, Germany",White or European descent,Social law,Comparative studies on social law,NA,Moderate (2-3 Years),Meditation,No,No,NA,No,NA,Yes,Yes,"Forrest, daily",Sangha am Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,NA,NA,NA,Neutral,Agree,Agree,NA,Sometimes,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,NA,NA,NA,NA,NA,NA,Never,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA
Participant 72,post,68,Woman,"Baltimore, Maryland",White or European descent,"N/A, retired academia healthcare Science/Research","addiction treatment, stress reduction in healthcare, trauma care, counseling","retired: Behavioral Pharmacology Research Unit, Johns Hopkins University Medical School",Very Experienced (5+ Years),"Mindfulness, Mettā, singing, walking,",Yes,Yes,"MBSR, Mindfulness retreat organized by MGH in Shambala (Darla) Mountain Center",Yes,WIMC (Washington Insight Meditation Center),No,Yes,Wooded reservoir where I walk my dogs for 1 hour every day. I live in a green suburb with a meadow garden and trees.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,NA,NA,NA,Agree,Strongly Agree,Strongly Agree,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,Always,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Almost Every Day,NA,NA,Every Day,NA,NA,Never,NA,NA,Every Day,NA,NA,Once or Twice,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA
Participant 73,post,29,Woman,"Toulouse, France","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",Aerospace,NA,NA,Moderate (2-3 Years),"Meditation in MBSR style, The Way app with Henry Shukman - daily, Waking Up app - various styles of guided meditations. Mindful eating, walking. Almost weekly - Insight Dialogue online group. Plum village whenever I am in Plum Village.",No,Yes,"MBSR (2 times, in French and in English) & MBCT",Yes,"Vipassana by Goenka (left on 7day), Martin Aylward retreat at Moulin de Chaves.",No,Yes,"There is a parc 15 min by foot, also Pyrenees 1,5h drive. Plum village is 2,5h drive. Sea is 1,5h drive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,NA,NA,NA,Agree,Agree,Agree,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,Always,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,Every Day,NA,NA,About Once a Week,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About Once a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA
